"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"168","00:05:ca:9a:3e:c8","qua","ZON-3EC0","0","19-07-2017 at 17:41:37","37.1328","-8.57138"
"169","30:b5:c2:c6:f6:2a","qua","TP-LINK_C6F62A","0","19-07-2017 at 17:41:37","37.1328","-8.57138"
"170","00:fc:8d:6a:4a:18","qua","NOS-4A10","0","19-07-2017 at 17:41:37","37.1328","-8.57138"
"171","84:94:8c:a7:7d:f9","qua","NOS_WIFI_Fon","0","19-07-2017 at 17:41:37","37.1328","-8.57138"
"172","00:05:ca:89:4f:29","qua","NOS_WIFI_Fon","0","19-07-2017 at 19:37:09","37.1326","-8.57096"
"173","1c:ab:c0:1f:de:69","qua","NOS_WIFI_Fon","0","19-07-2017 at 17:41:37","37.1328","-8.57138"
"174","00:05:ca:9a:3e:c9","qua","NOS_WIFI_Fon","0","19-07-2017 at 17:41:37","37.1328","-8.57138"
"175","00:fc:8d:6a:4a:19","qua","NOS_WIFI_Fon","0","19-07-2017 at 17:41:37","37.1328","-8.57138"
"176","9c:97:26:7d:8c:8e","qua","MEO-7D8C8E","0","19-07-2017 at 17:41:37","37.1328","-8.57138"
"177","00:05:ca:88:9e:89","qua","NOS_WIFI_Fon","0","19-07-2017 at 22:02:04","37.1306","-8.54264"
"178","00:05:ca:88:9e:88","qua","ZON-9E80","0","19-07-2017 at 20:36:03","37.1306","-8.54264"
"179","5c:93:a2:57:a4:8b","qua","PS4-39955A6C153A","0","19-07-2017 at 22:02:26","37.1306","-8.54264"
"180","1c:ab:c0:1f:3d:98","qua","AJFA","0","19-07-2017 at 23:27:41","37.1306","-8.54264"
"181","00:fc:8d:68:c5:98","qua","NOS-C590","0","19-07-2017 at 22:33:59","37.1306","-8.54264"
"182","00:fc:8d:68:c5:99","qua","NOS_WIFI_Fon","0","19-07-2017 at 22:33:59","37.1306","-8.54264"
"183","02:1a:11:fa:3d:45","qua","AndroidAP","0","19-07-2017 at 18:53:57","37.1326","-8.57096"
"184","bc:4d:fb:4f:d8:78","qua","NOS-D870","0","19-07-2017 at 19:53:24","37.1326","-8.57096"
"185","f0:f2:49:4c:f0:88","qua","NOS-F080","0","19-07-2017 at 19:39:09","37.1326","-8.57097"
"186","f0:f2:49:4c:f0:89","qua","NOS_WIFI_Fon","0","19-07-2017 at 19:39:09","37.1326","-8.57097"
"187","78:8d:f7:08:0c:a9","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:09:39","37.1302","-8.53924"
"188","30:91:8f:07:c4:31","qua","GEGE","0","19-07-2017 at 20:10:40","37.1302","-8.53924"
"189","18:a6:f7:ea:88:3c","qua","TP-LINK_883C","0","19-07-2017 at 20:10:40","37.1302","-8.53924"
"190","dc:09:4c:58:ef:25","qua","NOS_Internet_EF25","0","19-07-2017 at 20:21:11","37.1327","-8.57162"
"191","a8:4e:3f:2b:da:68","qua","Rede de Pesca","0","19-07-2017 at 20:21:11","37.1327","-8.57162"
"192","84:94:8c:f8:3f:f8","qua","NOS-3FF0","0","19-07-2017 at 20:21:11","37.1327","-8.57162"
"193","00:1f:9f:07:32:57","qua","Thomson970BCF","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
"194","a8:4e:3f:2c:d1:88","qua","NOS-D180","0","19-07-2017 at 20:21:11","37.1327","-8.57162"
"195","9c:97:26:48:6e:b7","qua","Vodafone-486EB7","0","19-07-2017 at 20:21:11","37.1327","-8.57162"
"196","bc:14:01:8d:6c:78","qua","ZON-6C70","0","19-07-2017 at 20:21:11","37.1327","-8.57162"
"197","74:a5:28:a8:a8:ab","qua","Santilab","0","19-07-2017 at 20:21:11","37.1327","-8.57162"
"198","08:76:ff:9b:46:d6","qua","MEO-9B46D6","0","19-07-2017 at 20:21:11","37.1327","-8.57162"
"199","bc:14:01:ad:3d:58","qua","ZON-3D50","0","19-07-2017 at 20:10:41","37.1302","-8.53924"
"200","a0:d3:c1:da:c6:09","qua","HP-Print-09-Officejet Pro 8610","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
"201","a8:4e:3f:2b:da:69","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
"202","bc:14:01:8d:6c:79","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
"203","84:94:8c:f8:3f:f9","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
"204","a8:4e:3f:2c:d1:89","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
"205","00:05:ca:cc:85:e9","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
"206","bc:14:01:ad:3d:59","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:10:41","37.1302","-8.53924"
"207","00:05:ca:cc:85:e8","qua","ZON-85E0","0","19-07-2017 at 20:21:11","37.1327","-8.57162"
"208","58:98:35:bc:24:97","qua","MEO-BC2497","0","19-07-2017 at 20:11:09","37.1302","-8.53923"
"209","84:94:8c:f1:2b:38","qua","NOS-2B30","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
"210","1c:ab:c0:20:1e:39","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:11:09","37.1302","-8.53923"
"211","84:94:8c:f1:2b:39","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
"212","f0:f2:49:4f:b3:28","qua","NOS-B320","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
"213","bc:14:01:a0:ce:c8","qua","ZON-CEC0","0","19-07-2017 at 20:21:11","37.1327","-8.57162"
"214","bc:14:01:a0:ce:c9","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
"215","f0:f2:49:4f:b3:29","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
"216","f0:f2:49:4c:ff:e8","qua","NOS-FFE0","0","19-07-2017 at 20:21:11","37.1327","-8.57162"
"217","1c:ab:c0:20:1e:38","qua","NOS-1E30","0","19-07-2017 at 20:21:11","37.1327","-8.57162"
"218","a8:4e:3f:2c:a6:c8","qua","NOS-A6C0","0","19-07-2017 at 20:21:11","37.1327","-8.57162"
"219","00:fc:8d:c0:36:d8","qua","NOS-36D0","0","19-07-2017 at 20:21:11","37.1327","-8.57162"
"220","a8:4e:3f:2c:a6:c9","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
"221","00:fc:8d:c0:36:d9","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
"222","00:05:ca:a1:b8:c8","qua","ZON-B8C0","0","19-07-2017 at 20:21:12","37.1327","-8.57162"
