"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"1344","a4:b1:e9:6b:4b:b7","sex","MEO-6B4BB7","0","12-05-2017 at 15:17:01","37.2028","-8.58988"
"1345","9c:97:26:69:6c:1f","sex","VCBWLAN","0","12-05-2017 at 12:58:59","37.2033","-8.59041"
"1346","00:1f:9f:ff:0d:b2","sex","MEO-FF0DB2","0","12-05-2017 at 15:17:01","37.2028","-8.58988"
"1347","58:98:35:79:28:e1","sex","LOTE  136","0","12-05-2017 at 15:16:20","37.2033","-8.59049"
"1348","58:98:35:8e:a1:33","sex","MEO-8EA133","0","12-05-2017 at 15:18:44","37.1884","-8.58753"
"1349","58:98:35:bd:fd:d0","sex","MEO-BDFDD0","0","12-05-2017 at 15:25:50","37.1549","-8.56022"
"1350","dc:09:4c:81:11:f9","sex","NOS_Internet_11F9","0","12-05-2017 at 15:47:20","37.1521","-8.55607"
"1351","08:76:ff:4a:97:d2","sex","RESTAURANTE CAMPUS","0","12-05-2017 at 15:47:20","37.1521","-8.55607"
"1352","0c:bd:51:50:13:8e","sex","ESCAPE.ALGARVE","0","12-05-2017 at 15:47:20","37.1521","-8.55607"
"1353","c0:ac:54:f8:a0:e6","sex","Cabovisao-1DFC","0","12-05-2017 at 15:47:20","37.1521","-8.55607"
"1354","f6:dc:f9:fe:de:b2","sex","Kanguru-FEDEB1","0","12-05-2017 at 15:47:20","37.1521","-8.55607"
"1355","36:69:87:13:6a:7e","sex","VodafoneMobileWiFi-136A7E","0","12-05-2017 at 15:38:49","37.155","-8.56015"
"1356","9e:97:26:e4:52:84","sex","MEO-WiFi","0","12-05-2017 at 15:41:48","37.1549","-8.56018"
"1357","e8:de:27:97:d4:f4","sex","","0","12-05-2017 at 15:45:30","37.1549","-8.56026"
"1358","36:69:87:4d:b8:4c","sex","VodafoneMobileWiFi-4DB84C","0","12-05-2017 at 15:41:48","37.1549","-8.56018"
"1359","50:9f:27:91:cd:55","sex","Optimus_CD53","0","12-05-2017 at 15:46:59","37.1533","-8.55937"
"1360","7c:4f:b5:9e:71:29","sex","VodafoneSharingDock_9E7129","0","12-05-2017 at 15:47:20","37.1521","-8.55607"
"1361","1c:ab:c0:f6:e4:18","sex","NOS-E410","0","12-05-2017 at 15:43:11","37.1549","-8.56023"
"1362","04:02:1f:f4:d3:8f","sex","NOS_Internet_D38F","0","12-05-2017 at 15:47:20","37.1521","-8.55607"
"1363","00:0c:f6:9d:ad:d8","sex","Sitecom9DADD8","0","12-05-2017 at 15:46:08","37.1549","-8.56027"
"1364","58:98:35:7d:f3:27","sex","RADICALCAR2","0","12-05-2017 at 15:46:08","37.1549","-8.56027"
"1365","08:76:ff:08:94:bc","sex","MEO-0894BC","0","12-05-2017 at 15:46:59","37.1533","-8.55937"
"1366","a4:b1:e9:68:81:d3","sex","JOSE","0","12-05-2017 at 15:47:20","37.1521","-8.55607"
"1367","44:d9:e7:23:a8:57","sex","AOC","0","12-05-2017 at 15:47:20","37.1521","-8.55607"
"1368","a4:5d:a1:93:dd:85","sex","MEO-93DD85","0","12-05-2017 at 15:47:41","37.1512","-8.55265"
"1369","ec:08:6b:39:ff:c5","sex","SUL1","0","12-05-2017 at 15:47:41","37.1512","-8.55265"
"1370","58:98:35:39:e5:03","sex","AUTOMAP","0","12-05-2017 at 15:47:41","37.1512","-8.55265"
"1371","00:34:fe:ea:6f:41","sex","Sohorta LDA","0","12-05-2017 at 15:47:41","37.1512","-8.55265"
"1372","e4:8d:8c:46:90:ad","sex","WiFi TRANSOL 89","0","12-05-2017 at 15:47:41","37.1512","-8.55265"
"1373","f8:d1:11:3d:7b:42","sex","HPPAVILION-PC_Network","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1374","9c:97:26:d6:39:35","sex","FILIPE","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1375","0c:47:3d:0f:ed:d8","sex","COLORADO","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1376","00:10:20:30:44:55","sex","WiFi_02DC","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1377","84:94:8c:63:93:68","sex","ZON-9360","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1378","a8:4e:3f:34:f3:08","sex","NOS-F300","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1379","f0:f2:49:59:38:a8","sex","NOS-38A0","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1380","84:94:8c:f0:9d:c8","sex","Kerias","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1381","00:26:5b:40:15:d8","sex","ZON-15D0","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1382","00:26:5b:11:27:98","sex","ZON-2790","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1383","a8:4e:3f:2d:7c:d8","sex","NOS-7CD0","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1384","00:05:ca:8d:4b:a8","sex","ZON-4BA0","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1385","58:98:35:f4:6e:77","sex","MEO-F46E77","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1386","00:fc:8d:bb:4f:48","sex","NOS-4F40","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1387","c0:ac:54:f6:73:13","sex","Cabovisao-C728","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1388","f0:f2:49:4e:47:a8","sex","NOS-47A0","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1389","84:94:8c:63:93:69","sex","NOS_WIFI_Fon","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1390","a8:4e:3f:34:f3:09","sex","NOS_WIFI_Fon","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1391","f0:f2:49:59:38:a9","sex","NOS_WIFI_Fon","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1392","00:26:5b:40:15:d9","sex","NOS_WIFI_Fon","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1393","00:26:5b:11:27:99","sex","NOS_WIFI_Fon","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1394","00:fc:8d:bb:4f:49","sex","NOS_WIFI_Fon","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1395","00:05:ca:8d:4b:a9","sex","NOS_WIFI_Fon","0","12-05-2017 at 15:48:02","37.151","-8.55183"
"1396","f0:f2:49:4e:47:a9","sex","NOS_WIFI_Fon","0","12-05-2017 at 15:48:02","37.151","-8.55183"
