"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"1","a4:b1:e9:6b:4b:b7","qua","MEO-6B4BB7","1","21-06-2017 at 23:59:33","37.2034","-8.59048"
"2","00:1f:9f:ff:0d:b2","qua","MEO-FF0DB2","0","21-06-2017 at 23:56:48","37.2034","-8.59048"
"3","f6:b7:e2:27:d4:02","qua","DIRECT-LM-BRAVIA","0","21-06-2017 at 03:40:02","37.2033","-8.59052"
"4","a0:1d:48:f2:f4:b6","qua","HP-Print-B6-Photosmart 5520","0","21-06-2017 at 22:26:07","37.2034","-8.59059"
"5","a4:b1:e9:f2:38:7e","qua","MEO-F2387E","0","21-06-2017 at 07:57:38","37.1891","-8.58776"
"6","58:98:35:bb:71:33","qua","CORREIA","0","21-06-2017 at 07:57:58","37.1856","-8.5866"
"7","c4:ea:1d:08:1e:fb","qua","MEO_Buck","0","21-06-2017 at 07:58:58","37.1773","-8.58026"
"8","04:02:1f:2b:84:62","qua","NOS_Internet_Movel_8462","0","21-06-2017 at 08:01:38","37.1613","-8.56718"
"9","00:26:5b:15:85:78","qua","ZON-8570","0","21-06-2017 at 22:18:46","37.162","-8.57747"
"10","00:26:5b:15:85:79","qua","NOS_WIFI_Fon","0","21-06-2017 at 22:18:46","37.162","-8.57747"
"11","30:b5:c2:d9:ed:26","qua","SOBR","0","21-06-2017 at 08:03:19","37.1555","-8.5381"
"12","00:26:44:96:0c:cb","qua","Thomson960CCB","0","21-06-2017 at 08:03:19","37.1555","-8.5381"
"13","a4:ca:a0:07:de:64","qua","Bike Tours Portugal","0","21-06-2017 at 08:04:20","37.1485","-8.54039"
"14","a8:a6:68:e8:ca:b3","qua","Cycling Soul","0","21-06-2017 at 08:04:20","37.1485","-8.54039"
"15","b8:62:1f:53:9c:f1","qua","","0","21-06-2017 at 08:05:15","37.1426","-8.54526"
"16","02:5a:13:e6:8b:0c","qua","Algartempo","0","21-06-2017 at 12:08:27","37.1368","-8.53751"
"17","84:94:8c:0d:ef:68","qua","ZON-EF60","0","21-06-2017 at 08:05:15","37.1426","-8.54526"
"18","0c:47:3d:0f:2d:38","qua","ZON-2D30","0","21-06-2017 at 08:05:15","37.1426","-8.54526"
"19","4c:5e:0c:ac:44:1e","qua","WiFi TRANSOL 85","0","21-06-2017 at 08:05:15","37.1426","-8.54526"
"20","0c:47:3d:0f:2d:39","qua","NOS_WIFI_Fon","0","21-06-2017 at 08:05:15","37.1426","-8.54526"
"21","d0:72:dc:a9:db:40","qua","WiFree-CEPSA","0","21-06-2017 at 22:15:46","37.155","-8.53779"
"22","b0:48:7a:98:97:5e","qua","TP-LINK_98975E","0","21-06-2017 at 08:05:15","37.1426","-8.54526"
"23","30:91:8f:40:a4:1b","qua","MEO-40A41B","0","21-06-2017 at 08:05:16","37.1426","-8.54526"
"24","9c:97:26:8a:36:71","qua","MEO-8A3671","0","21-06-2017 at 08:05:16","37.1426","-8.54526"
"25","84:94:8c:f4:fc:08","qua","NOS-FC00","0","21-06-2017 at 08:05:16","37.1426","-8.54526"
"26","5c:a8:6a:2b:7c:dd","qua","NOS_Internet_7CDD","0","21-06-2017 at 08:05:16","37.1426","-8.54526"
"27","48:fd:8e:df:ab:a0","qua","Vodafone-DFAB9A","0","21-06-2017 at 08:05:16","37.1426","-8.54526"
