"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"454","58:98:35:8e:9b:7d","ter","Rosinha","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"455","20:3d:b2:1d:33:94","ter","Vodafone-Gemeos","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"456","c4:ea:1d:1e:89:17","ter","MEO-1E8917","0","18-07-2017 at 18:41:07","37.1436","-8.54476"
"457","5a:98:35:8e:9b:7e","ter","MEO-WiFi","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"458","f0:f2:49:4d:7c:08","ter","NOS-7C00","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"459","a4:b1:e9:6a:53:05","ter","MEO-3BD4ED","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"460","30:91:8f:3d:17:65","ter","NetHome","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"461","48:d5:39:91:85:f0","ter","VDF-SSRR-9185E9","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"462","38:4c:4f:50:97:84","ter","Vodafone-50977C","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"463","a4:b1:e9:eb:17:72","ter","MEO-EB1772","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"464","02:26:44:77:71:32","ter","MEO-WiFi","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"465","f0:f2:49:4d:7c:09","ter","NOS_WIFI_Fon","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"466","f0:f2:49:cb:35:09","ter","NOS_WIFI_Fon","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"467","1c:ab:c0:ef:a5:d8","ter","NOS-A5D0","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"468","bc:14:01:a8:19:58","ter","ZON-1950","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"469","f0:f2:49:d8:db:98","ter","casa","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"470","9e:d2:1e:bd:ae:9f","ter","DIRECT-z4-BRAVIA","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"471","00:26:5b:85:f5:d8","ter","ZON-F5D0","0","18-07-2017 at 18:40:36","37.1433","-8.54564"
"472","e0:b9:e5:53:fa:e5","ter","MNREP","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"473","f0:f2:49:cb:35:08","ter","NOS-3500","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"474","30:91:8f:00:8a:3d","ter","Vodafone-008A3D","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
