"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"1","00:78:9e:ff:a4:dc","qua","HomeWirelessLan","1","19-07-2017 at 23:50:04","37.1433","-8.5452"
"2","84:94:8c:07:ab:68","qua","ZON-AB60","0","19-07-2017 at 23:50:04","37.1433","-8.5452"
"3","84:94:8c:07:ab:69","qua","NOS_WIFI_Fon","1","19-07-2017 at 23:50:04","37.1433","-8.5452"
"4","84:94:8c:7a:9d:a8","qua","ZON-9DA0","0","19-07-2017 at 23:50:04","37.1433","-8.5452"
"5","1c:ab:c0:da:3c:f8","qua","NOS-3CF0","0","19-07-2017 at 21:16:11","37.1433","-8.5452"
"6","84:94:8c:7a:9d:a9","qua","NOS_WIFI_Fon","0","19-07-2017 at 23:49:44","37.1433","-8.5452"
"7","1c:ab:c0:da:3c:f9","qua","NOS_WIFI_Fon","0","19-07-2017 at 21:16:38","37.1433","-8.5452"
"8","9c:97:26:e9:b2:cf","qua","MEO-E9B2CF","0","19-07-2017 at 23:50:04","37.1433","-8.5452"
"9","4e:5e:0c:30:ef:e9","qua","","0","19-07-2017 at 20:23:44","37.1433","-8.5452"
"10","d4:ca:6d:b7:5d:07","qua","WiFi TRANSOL 50","0","19-07-2017 at 04:58:14","37.1433","-8.5452"
"11","4c:5e:0c:31:70:8f","qua","WiFi FROTA AZUL 866","0","19-07-2017 at 06:26:02","37.1433","-8.5452"
"12","0c:47:3d:15:20:c8","qua","ZON-20C0","0","19-07-2017 at 21:17:30","37.1433","-8.5452"
"13","0c:47:3d:15:20:c9","qua","NOS_WIFI_Fon","0","19-07-2017 at 21:17:30","37.1433","-8.5452"
"14","d4:ca:6d:fb:d2:f3","qua","WiFi EVA 9525","0","19-07-2017 at 08:54:26","37.1433","-8.5452"
"15","00:8c:54:c0:70:c2","qua","ADSLPT-AB20645","0","19-07-2017 at 23:18:11","37.1433","-8.5452"
"16","f0:f2:49:94:03:b8","qua","alfredo","0","19-07-2017 at 23:45:22","37.1433","-8.5452"
"17","f0:f2:49:94:03:b9","qua","NOS_WIFI_Fon","0","19-07-2017 at 23:42:41","37.1433","-8.54523"
"18","c4:ea:1d:1e:89:17","qua","MEO-1E8917","0","19-07-2017 at 09:14:21","37.1436","-8.54326"
"19","a4:b1:e9:f3:c3:0f","qua","MEO-F3C30F","0","19-07-2017 at 09:14:21","37.1436","-8.54326"
"20","9e:97:26:11:f9:37","qua","MEO-WiFi","0","19-07-2017 at 09:14:21","37.1436","-8.54326"
"21","c6:ea:1d:1e:89:18","qua","MEO-WiFi","0","19-07-2017 at 09:14:21","37.1436","-8.54326"
"22","48:7b:6b:b5:91:48","qua","Vodafone-B59141","0","19-07-2017 at 19:08:17","37.1434","-8.54527"
"23","00:05:ca:8c:1e:08","qua","ZON-1E00","0","19-07-2017 at 23:50:04","37.1433","-8.5452"
"24","08:76:ff:04:b3:70","qua","Paulo","0","19-07-2017 at 19:07:54","37.1436","-8.54444"
"25","a4:2b:b0:b1:1a:47","qua","melissa","0","19-07-2017 at 19:08:17","37.1434","-8.54527"
"26","9c:97:26:8e:84:1d","qua","EmaBeatriz","0","19-07-2017 at 13:21:15","37.1435","-8.54523"
"27","d8:fb:5e:02:fd:26","qua","Cabovisao-2AB7","0","19-07-2017 at 19:07:34","37.1434","-8.54463"
"28","a8:4e:3f:2c:ed:f8","qua","NOS-EDF0","0","19-07-2017 at 19:07:55","37.1436","-8.54444"
"29","30:b5:c2:c2:8c:18","qua","4BCO-2","0","19-07-2017 at 09:14:41","37.1434","-8.54497"
"30","e0:b9:e5:b5:af:2b","qua","Bastos","0","19-07-2017 at 19:09:21","37.1432","-8.54517"
"31","0a:76:ff:04:b3:71","qua","MEO-WiFi","0","19-07-2017 at 19:07:54","37.1436","-8.54444"
"32","a8:4e:3f:2c:ed:f9","qua","""NOS_WIFI_Fon""","1","19-07-2017 at 19:07:55","37.1436","-8.54444"
"33","e2:b9:e5:b5:af:2c","qua","MEO-WiFi","0","19-07-2017 at 19:09:21","37.1432","-8.54517"
"34","9c:97:26:7d:39:17","qua","MEO-7D3917","0","19-07-2017 at 19:07:54","37.1436","-8.54444"
"35","84:94:8c:0f:6e:18","qua","ZON-6E10","0","19-07-2017 at 09:15:01","37.1434","-8.5449"
"36","9e:97:26:7d:39:18","qua","MEO-WiFi","0","19-07-2017 at 19:07:55","37.1436","-8.54444"
"37","00:26:5b:2e:45:c8","qua","WH","0","19-07-2017 at 19:07:54","37.1436","-8.54444"
"38","1c:ab:c0:1f:d6:b8","qua","NOS-D6B0","0","19-07-2017 at 19:07:54","37.1436","-8.54444"
"39","84:26:15:c3:ae:b4","qua","ADSLPT-AB10327","0","19-07-2017 at 13:50:49","37.1434","-8.54493"
"40","00:05:ca:9d:53:28","qua","Boss Sofia Mar","0","19-07-2017 at 09:15:22","37.1437","-8.54475"
"41","00:05:ca:98:be:58","qua","ZON-BE50","0","19-07-2017 at 09:15:42","37.1408","-8.5479"
"42","00:26:5b:2e:45:c9","qua","NOS_WIFI_Fon","0","19-07-2017 at 19:07:54","37.1436","-8.54444"
"43","1c:ab:c0:1f:d6:b9","qua","NOS_WIFI_Fon","0","19-07-2017 at 19:07:54","37.1436","-8.54444"
"44","00:05:ca:98:be:59","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:15:42","37.1408","-8.5479"
"45","00:05:ca:9d:53:29","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:15:22","37.1437","-8.54475"
"46","84:94:8c:7a:df:89","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:15:42","37.1408","-8.5479"
"47","78:8d:f7:04:ec:08","qua","Anonymous","0","19-07-2017 at 09:15:42","37.1408","-8.5479"
"48","c0:ac:54:f9:16:12","qua","Cabovisao-C31E","0","19-07-2017 at 09:15:42","37.1408","-8.5479"
"49","a4:b1:e9:d2:df:51","qua","Vodafone-D2DF51","0","19-07-2017 at 09:15:42","37.1408","-8.5479"
"50","f0:f2:49:cb:35:08","qua","NOS-3500","0","19-07-2017 at 13:51:09","37.143","-8.54706"
"51","1c:ab:c0:1f:f8:e8","qua","NOS-F8E0","0","19-07-2017 at 09:15:43","37.1408","-8.5479"
"52","9c:97:26:e4:fe:e3","qua","MEO-E4FEE3","0","19-07-2017 at 09:15:43","37.1408","-8.5479"
"53","84:94:8c:08:1a:88","qua","ZON-1A80","0","19-07-2017 at 09:15:43","37.1408","-8.5479"
"54","9c:97:26:7c:e4:e1","qua","MEO-7CE4E1","0","19-07-2017 at 09:15:43","37.1408","-8.5479"
"55","9e:97:26:e4:fe:e4","qua","MEO-WiFi","0","19-07-2017 at 09:15:43","37.1408","-8.5479"
"56","78:8d:f7:04:ec:09","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:15:43","37.1408","-8.5479"
"57","f0:f2:49:cb:35:09","qua","NOS_WIFI_Fon","0","19-07-2017 at 13:51:09","37.143","-8.54706"
"58","9e:97:26:7c:e4:e2","qua","MEO-WiFi","0","19-07-2017 at 09:15:43","37.1408","-8.5479"
"59","a8:4e:3f:34:64:f9","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:15:43","37.1408","-8.5479"
"60","1c:ab:c0:1f:f8:e9","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:15:43","37.1408","-8.5479"
"61","a8:4e:3f:34:64:f8","qua","Rluis","0","19-07-2017 at 09:15:43","37.1408","-8.5479"
"62","bc:14:01:9c:75:59","qua","NOS_WIFI_Fon","0","19-07-2017 at 13:20:14","37.1444","-8.54568"
"63","64:77:7d:2a:56:e8","qua","NOS-56E0","0","19-07-2017 at 13:51:10","37.143","-8.54706"
"64","e0:b9:e5:ae:17:1b","qua","XANA","0","19-07-2017 at 09:15:43","37.1408","-8.5479"
"65","c4:ea:1d:0f:9f:ef","qua","MEO-0F9FEF","0","19-07-2017 at 19:06:32","37.1442","-8.54552"
"66","64:77:7d:2a:56:e9","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:15:43","37.1408","-8.5479"
"67","c6:ea:1d:0f:9f:f0","qua","MEO-WiFi","0","19-07-2017 at 19:06:32","37.1442","-8.54552"
"68","00:05:ca:9f:15:48","qua","ZON-1540","0","19-07-2017 at 09:16:03","37.1403","-8.54549"
"69","00:05:ca:9f:15:49","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:16:03","37.1403","-8.54549"
"70","9c:97:26:de:ba:63","qua","Moreira","0","19-07-2017 at 09:17:23","37.1403","-8.54549"
"71","00:05:ca:a6:2c:c8","qua","ZON-2CC0 duarte","0","19-07-2017 at 09:17:03","37.1403","-8.54549"
"72","a4:b1:e9:f1:67:ee","qua","Animacalculo","0","19-07-2017 at 09:17:23","37.1403","-8.54549"
"73","84:94:8c:02:ea:b8","qua","ZON-EAB0","0","19-07-2017 at 09:17:03","37.1403","-8.54549"
